QuestionId,MisconceptionId,CorrectAnswer,MisconceptionName,ConstructName,SubjectName,AnswerBText,AnswerAText,QuestionText,MisconceptionB
2417,1439,A,"When solving simultaneous equations, assumes every variable has equal value.",Solving Simultaneous Equations,Algebra,"\( x = 4, y = 4 \)","\( x = 3, y = 2 \)",Solve the system of equations: ,Assumes every variable has equal value.
2418,1441,A,"Thinks decimal place value works the same as integer place value, ones will follow tenths",Understanding Decimal Place Value ,Decimal Place Value,5,0.05,What is the value of the digit 5 in the number 3.456?,"Thinks decimal place value works the same as integer place value, ones will follow tenths"
2419,1446,A,"When calculating perimeter, only adds two sides",Perimeter of a rectangle. ,Geometry,13 units,26 units,What is the perimeter of a rectangle with a length of 8 units and a width of 5 units?,"When calculating perimeter, only adds two sides"
2420,1448,A,Believes the solutions of a quadratic equation are the negative of the absolute values of the constants in the factorised form,Solving Quadratic Equations by Factoring.  ,Algebra,\( x = -3 \) and \( x = 2 \),\( x = 3 \) and \( x = -2 \),What are the solutions to the quadratic equation \( (x - 3)(x + 2) = 0 \)?,Believes the solutions of a quadratic equation are the negative of the absolute values of the constants in the factorised form.
2421,1451,A,Assumes that the square root is the only type of root,Cube roots. ,Algebra,9,3,What is the value of \( \sqrt[3]{27} \)?,Assumes that the square root is the only type of root.
2422,1454,A,Believes they can eliminate a variable without making the coefficients the same in simultaneous equations,Solving simultaneous equations by elimination method.,Algebra,"\( x = 2, y = 1 \)","\( x = 4, y = -1 \)",Solve the system of equations: ,Believes they can eliminate a variable without making the coefficients the same in simultaneous equations.
2423,1462,A,Believes height represents frequency on a histogram,Understanding the representation of frequency in a histogram.  ,Statistics and Probability.,There are 15 students in that height range.,The number of students in that height range is the highest among all ranges.,"In a histogram showing the heights of students in a class, if the tallest bar is 15 units high, what does this indicate about the number of students in that height range?",Believes height represents frequency on a histogram.
2424,1463,A,"When adding fractions, adds the numerators and multiplies the denominators",Adding fractions.  ,Arithmetic,\(\frac{3}{15}\),\(\frac{11}{15}\),What is the result of adding the fractions \(\frac{1}{3} + \frac{2}{5}\)?,"When adding fractions, adds the numerators and multiplies the denominators."
2425,1465,A,Uses outcome as numerator in probability ,Basic probability calculation.  ,Probability,5月7日,5月12日,"A bag contains 5 red marbles and 7 blue marbles. If you randomly draw one marble from the bag, what is the probability that it is red?",Uses the number of red marbles as the numerator and the number of blue marbles as the denominator in probability.
2426,1466,A,Thinks there are 100kg in a ton,Conversion between tons and kilograms.  ,Unit Conversion,500 kg,5000 kg,"If a truck can carry a maximum of 5 tons of cargo, how many kilograms of cargo can it carry?",Thinks there are 100kg in a ton
2427,1472,A,"Believes that they can reverse a percentage decrease by dividing by the decimal multiplier of the percentage itself, not the multiplier for the percentage decrease.",Reversing Percentage Decrease,Percentage and Proportions,20%,25%,"If a store decreases the price of a $100 item by 20%, and then wants to increase it back to the original price, what percentage increase should they apply to the new price?","Believes that they can reverse a percentage decrease by dividing by the decimal multiplier of the percentage itself, not the multiplier for the percentage decrease."
2428,1474,A,Forgets to add on the starting value when identifying a position on a number line,Position on a Number Line. ,Number Line,3,8,"If you start at 5 on a number line and move 3 units to the right, what number do you land on?",Forgets to add on the starting value when identifying a position on a number line
2429,1475,A,Believes y=f(-x) is reflection in the x-axis,Reflections of Functions,Transformations of Functions,The graph of \( y = f(-x) \) is a reflection of the graph of \( y = f(x) \) in the x-axis.,The graph of \( y = f(-x) \) is a reflection of the graph of \( y = f(x) \) in the y-axis.,What is the graph of the function \( y = f(-x) \) if the graph of \( y = f(x) \) is known?,Believes \( y = f(-x) \) is a reflection in the x-axis.
2430,1476,A,Thinks 1 square metre = 1000 square centimetres,Conversion between square meters and square centimeters.  ,Area Conversion.,"2,000 square centimeters.","20,000 square centimeters.",How many square centimeters are in 2 square meters?,Thinks 1 square metre = 1000 square centimetres.
2431,1477,A,"When using a scale factor greater than 1, thinks you multiply by the scale factor to go from the larger to the smaller shape.",Scale Factor and Area Transformation. ,Geometry,6 square units.,48 square units.,"If a scale factor of 2 is used to enlarge a rectangle, and the area of the original rectangle is 12 square units, what is the area of the enlarged rectangle?","When using a scale factor greater than 1, thinks you multiply by the scale factor to go from the larger to the smaller shape."
2432,1478,A,"When expressing one quantity (x) as a fraction of another (y), believes the answer is 1/x.",Expressing one quantity as a fraction of another.  ,Fractions and Ratios,4,1月4日,"If the length of a rectangle is 4 times its width, what fraction of the length is the width?","When expressing one quantity (x) as a fraction of another (y), believes the answer is 1/x."
2433,1482,A,Believes you only need to multiply the integer by the integer in a integer x decimal calculation,Multiplication of integers and decimals.  ,Arithmetic,30,3,What is the result of multiplying 5 by 0.6?,Believes you only need to multiply the integer by the integer in an integer x decimal calculation.
2434,1485,A,"When given an error interval for a decimal that ends in a zero, thinks you give the error interval as if the zero was not present (e.g. 1dp rather than 2dp)",Error Intervals and Rounding,Numerical Analysis,3.35 to 3.45,3.395 to 3.405,What is the error interval for the number 3.40 when rounded to 2 decimal places?,"When given an error interval for a decimal that ends in a zero, thinks you give the error interval as if the zero was not present (e.g., 1dp rather than 2dp)."
2435,1486,A,"When using the capture-recapture method for sampling, believes you subtract the number marked second from the number caught second to find the best estimate of population size",Capture-Recapture Method,Statistics and Probability,130,750,"In a wildlife study, 100 animals were initially captured and marked. Later, 150 animals were captured, and it was found that 20 of them were already marked. Using the capture-recapture method, what is the best estimate of the total population size?","When using the capture-recapture method for sampling, believes you subtract the number marked second from the number caught second to find the best estimate of population size."
2436,1489,A,"Believes an outlier is the smallest value in a data set, even if this value is close to the mean",Identifying Outliers,Statistics,12,100,"What is the outlier in the following data set: 12, 15, 14, 16, 13, 100?","Believes an outlier is the smallest value in a data set, even if this value is close to the mean."
2437,1493,A,Thinks the positive and negative terms in a sequence will have the same absolute values,Finding the nth term of an arithmetic sequence. ,Arithmetic Sequences,5,-4,Consider the arithmetic sequence where the first term is 5 and the common difference is -3. What is the 5th term of this sequence?,Thinks the positive and negative terms in a sequence will have the same absolute values.
2438,1496,A,Ignores grouping within a fraction and carries out the division first,Order of Operations within Fractions. ,Arithmetic and Algebra,\(\frac{5}{3}\),1,Simplify the expression \(\frac{2 + 3}{4 - 1}\).,Ignores grouping within a fraction and carries out the division first.
2439,1497,A,Thinks the plan view is taken from an angle to include aspects of the side view,Area of a plan view of a rectangular prism. ,Geometry,250 cm虏,150 cm虏,What is the area of the top view of a rectangular prism with dimensions 10 cm by 15 cm by 20 cm?,Thinks the plan view is taken from an angle to include aspects of the side view.
2440,1498,A,"Does not understand that a scale factor of enlargement greater than -1, will create a larger image on the other side of the centre of enlargement from the original",Enlargement and Scale Factor,Geometry,"(2, 2), (4, 2), (2, 4)","(-2, -2), (-4, -2), (-2, -4)","A shape is enlarged by a scale factor of -2 with the center of enlargement at the origin. If the original shape is a triangle with vertices at (1, 1), (2, 1), and (1, 2), what are the coordinates of the vertices of the enlarged triangle?","Does not understand that a scale factor of enlargement greater than -1, will create a larger image on the other side of the centre of enlargement from the original."
2441,1501,A,Multiplied the base numbers,Exponentiation and Multiplication,Arithmetic and Exponents,200,1000,What is the result of \( 5^3 \times 2^2 \)?,Multiplied the base numbers
2442,1502,A,"When calculating the group width of a group from a grouped frequency table, believes this is found by midpoint multiplied by frequency",Group width calculation,Statistics,150,10,"In a grouped frequency table, the first group is 10-20 with a frequency of 5. What is the group width of this group?","When calculating the group width of a group from a grouped frequency table, believes this is found by midpoint multiplied by frequency."
2443,1503,A,"When drawing a histogram, thinks you plot group midpoint on the horizontal axis",Histogram construction.,Statistics.,The midpoint of each score range.,The lower boundary of each score range.,"When creating a histogram to represent the distribution of test scores, where should you plot the scores on the horizontal axis?","When drawing a histogram, thinks you plot group midpoint on the horizontal axis."
2444,1504,A,"When multiplying surds, adds the numbers under the roots",Simplifying surds. ,Algebra,$\sqrt{26}$,$12$,Simplify the expression $\sqrt{8} \times \sqrt{18}$.,"When multiplying surds, adds the numbers under the roots."
2445,1506,A,Believes transforming some terms in simultaneous equations is sufficient,Solving systems of linear equations. ,Algebra,"The system has a unique solution, \(x = 1\) and \(y = 2\).",The system has infinitely many solutions.,Solve the system of equations:,Believes transforming some terms in simultaneous equations is sufficient.
2446,1512,A,"When sketching graphs of factorised quadratics, does not see that the negative of the non variable terms in the brackets give the x intercepts or the roots of the graph.",Finding x-intercepts of factorised quadratic equations.  ,Algebra,The x-intercepts are \( x = 3 \) and \( x = -2 \).,The x-intercepts are \( x = -3 \) and \( x = 2 \).,What are the x-intercepts of the graph of the quadratic equation \( y = (x + 3)(x - 2) \)?,"When sketching graphs of factorised quadratics, does not see that the negative of the non-variable terms in the brackets give the x-intercepts or the roots of the graph."
2447,1515,A,"When asked to take off a fraction of an amount, subtracts the fraction itself",Subtracting a fraction of a number. ,Arithmetic,19,15,"If you take off 1/4 of 20, what is the result?","When asked to take off a fraction of an amount, subtracts the fraction itself."
2448,1518,A,Mixes up smallest and largest when ordering decimals,Ordering Decimals ,Decimal Comparison,0.403,0.304,"Which of the following decimals is the smallest: 0.34, 0.43, 0.304, 0.403?",Mixes up smallest and largest when ordering decimals
2449,1521,A,"Thinks that scale factors, other than one, can leave the dimensions of shapes unchanged",Scale Factors and Dimension Changes,Geometry,The dimensions of the rectangle remain unchanged.,The dimensions of the rectangle are doubled.,"If a rectangle is scaled by a factor of 2, what happens to its dimensions?","Thinks that scale factors, other than one, can leave the dimensions of shapes unchanged."
2450,1531,A,Believes you plot frequency rather than cumulative frequency on a cumulative frequency diagram,Cumulative Frequency Diagrams.  ,Statistics,Plot the frequency on the y-axis and the upper class boundary on the x-axis.,Plot the cumulative frequency on the y-axis and the upper class boundary on the x-axis.,What is the correct way to plot a cumulative frequency diagram for a given data set?,Believes you plot frequency rather than cumulative frequency on a cumulative frequency diagram.
2451,1538,A,Does not take into account the whole amount when using a bar model to find a fraction,Understanding fractions using bar models. ,Fractions,16,8,"If a bar model represents a whole amount of 24 units and a part of it is shaded to represent 1/3 of the whole, how many units are shaded?",Does not take into account the whole amount when using a bar model to find a fraction
2452,1544,A,Thinks a variable next to a number means write the digits together,Solving linear equations. ,Algebra,\( x = 315 \),\( x = 5 \),"If \( 3x = 15 \), what is the value of \( x \)?",Thinks a variable next to a number means write the digits together.
2453,1545,A,Believes you find the surface area of a prism by finding the total area of the unique faces,Surface Area of Rectangular Prisms,Geometry,48 cm虏,88 cm虏,What is the surface area of a rectangular prism with dimensions 6 cm by 4 cm by 2 cm?,Believes you find the surface area of a prism by finding the total area of the unique faces.
2454,1546,A,Believes the horizontal axis on a cumulative frequency diagram is labelled upper bound,Understanding of cumulative frequency diagram axes.  ,Statistics,Upper bound,Class interval,"In a cumulative frequency diagram, what label should be used for the horizontal axis?",Believes the horizontal axis on a cumulative frequency diagram is labelled upper bound
2455,1548,A,Thinks that a unit fraction can be simplified further,Simplifying fractions.  ,Fractions,\(\frac{1}{2}\),\(\frac{1}{4}\),What is the simplified form of the fraction \(\frac{1}{4}\)?,Thinks that a unit fraction can be simplified further.
2456,1551,A,Does the reciprocal of both fractions when dividing fractions,Division of fractions. ,Arithmetic,\(\frac{8}{15}\),\(\frac{15}{8}\),What is the result of dividing \(\frac{3}{4}\) by \(\frac{2}{5}\)?,The reciprocal of both fractions when dividing fractions.
2457,1555,A,Believes that we cannot calculate the median of a dataset that contains negative numbers,Calculating the median of a dataset.  ,Statistics,Cannot be calculated,0,"What is the median of the dataset \([-5, -3, 0, 2, 4]\)?",Believes that we cannot calculate the median of a dataset that contains negative numbers
2458,1562,A,"When substituting into an algebraic term, believes they can disregard the coefficient",Solving linear equations. ,Algebra,\( x = 15 \),\( x = 5 \),"If \( 3x + 4 = 19 \), what is the value of \( x \)?","When substituting into an algebraic term, believes they can disregard the coefficient."
2459,1563,A,Thinks the order of events does not matter in a question about combined probability with no replacement,Combined Probability with No Replacement,Probability,\(\frac{5}{12} \times \frac{5}{12} = \frac{25}{144}\),\(\frac{5}{12} \times \frac{4}{11} = \frac{20}{132} = \frac{5}{33}\),"A bag contains 5 red marbles and 7 blue marbles. If two marbles are drawn at random without replacement, what is the probability that both marbles are red?",Thinks the order of events does not matter in a question about combined probability with no replacement.
2460,1564,A,Does not recognise time as a variable from a worded scenario,Time Calculation and Duration,Arithmetic and Time,2 hours,4 hours,"A train leaves Station A at 9:00 AM and arrives at Station B at 11:00 AM. If the train leaves Station B at 11:30 AM and arrives at Station C at 1:30 PM, how long does the train travel in total?",Does not recognize time as a variable from a worded scenario
2461,1565,A,Miscounts the area of a shape when there are half squares,Area of a shape.,Geometry.,14 square units.,16 square units.,"What is the area of the shape shown below, where each square represents 1 square unit?",Miscounts the area of a shape when there are half squares.
2462,1567,A,Does not recognise suitable statistical diagrams for comparing results over time,Choosing appropriate statistical diagrams for time series data.  ,Statistics,Pie chart,Line graph,Which type of statistical diagram is most appropriate for comparing the average monthly temperatures over a year?,Does not recognise suitable statistical diagrams for comparing results over time
2463,1569,A,Uses term-to-term rule as numerical part of nth term rule,nth term of a linear sequence. ,Algebra,4n + 3,4n - 1,"What is the nth term of the sequence 3, 7, 11, 15, ...?",Uses term-to-term rule as numerical part of nth term rule
2464,1570,A,Does not understand the 3-letter convention for labelling angles,Angle Labeling Convention. ,Geometry,130掳,50掳,"In triangle ABC, if angle A is labeled as 鈭燘AC, what is the measure of angle A if 鈭燘AC = 50掳?",Does not understand the 3-letter convention for labelling angles
2465,1573,A,When scaling the perimeter multiplies the number of sides by the scale factor,Perimeter scaling in similar polygons.  ,Geometry.,108 units (wrongly calculated as 36 units * 6 sides * 3).,108 units.,"If the perimeter of a regular hexagon is 36 units, what is the perimeter of a similar hexagon that is scaled up by a factor of 3?","When scaling the perimeter, multiplies the number of sides by the scale factor."
2466,1574,A,Struggles to visualise 2D triangles in a cuboid,Diagonal of a rectangle,Geometry,14 cm,10 cm,"In a cuboid with dimensions 6 cm by 8 cm by 10 cm, what is the length of the diagonal of the base?",Struggles to visualise 2D triangles in a cuboid
2467,1575,A,Includes too many possibilities when calculating a combined event in probability,Combined Events in Probability,Probability,6月25日,3月10日,"A bag contains 3 red marbles and 2 blue marbles. If you draw two marbles without replacement, what is the probability that both marbles are red?","The misconception is that the student might consider all possible combinations of drawing two marbles without considering the order, leading to an incorrect calculation."
2468,1576,A,Divides rather than multiplies in a related calculation questions,Area of a rectangle. ,Geometry,1.6 square units,40 square units,"If a rectangle has a length of 8 units and a width of 5 units, what is the area of the rectangle?",Divides rather than multiplies in a related calculation question.
2469,1578,A,"When dividing a fraction by an integer, subtracts the integer from the denominator",Division of a Fraction by an Integer,Arithmetic Operations with Fractions,\(\frac{3}{2}\),\(\frac{3}{8}\),What is the result of dividing the fraction \(\frac{3}{4}\) by the integer 2?,"When dividing a fraction by an integer, subtracts the integer from the denominator."
2470,1579,A,Does not realise that in standard form the decimal we use must be between 1 and 10,Standard Form of Numbers,Number Theory,\(45 \times 10^2\),\(4.5 \times 10^3\),Write the number 4500 in standard form.,Does not realise that in standard form the decimal we use must be between 1 and 10.
2471,1580,A,"When drawing a cumulative frequency diagram, thinks you plot the frequency on the horizontal axis",Cumulative Frequency Diagram Axis Placement.  ,Statistics,Horizontal axis (x-axis),Vertical axis (y-axis),"When drawing a cumulative frequency diagram, which axis should you plot the cumulative frequency on?","When drawing a cumulative frequency diagram, thinks you plot the frequency on the horizontal axis."
2472,1581,A,Thinks that two side views are interchangeable,Perspective and Views of 3D Shapes.  ,Geometry,2,1,"In a 3D cube, if you look at it from the top, how many sides can you see?",Thinks that two side views are interchangeable
2473,1583,A,Does not recognise the origin as the starting point for coordinates,Understanding the origin as the starting point for coordinates.  ,Coordinate Geometry,"(0, 0)","(3, 4)",What are the coordinates of the point that is 3 units to the right and 4 units up from the origin?,Does not recognise the origin as the starting point for coordinates
2474,1584,A,Believes if a point is reflected in the line y=b then the y coordinate of the point will become 'b',Reflection over a horizontal line,Geometry,"(3, 2)","(3, -1)","If the point (3, 5) is reflected over the line \( y = 2 \), what are the coordinates of the reflected point?",Believes if a point is reflected in the line \( y = b \) then the y-coordinate of the point will become \( b \).
2475,1587,A,when reading a dash on a number line counts 1 dash too few when working out the divisions,Counting Dashes on a Number Line. ,Number Line and Distance,10,9,"On a number line, if the distance between two points is 10 units and each dash represents 1 unit, how many dashes are there between the two points?","When reading a dash on a number line, counts 1 dash too few when working out the divisions."
2476,1589,A,Thinks the division sign means to subtract,Division Operation,Arithmetic,9,4,What is the result of \( 12 \div 3 \)?,Thinks the division sign means to subtract
2477,1592,A,Thinks the number of items give the number of different possible arrangements rather than using the product rule for counting,Permutations of distinct objects. ,Combinatorics,4,24,How many different ways can you arrange 4 different books on a shelf?,Thinks the number of items gives the number of different possible arrangements rather than using the product rule for counting.
2478,1594,A,Believes the proportion for a pie chart sector is equal to the frequency,Pie Chart Proportions,Statistics and Probability,25 degrees,90 degrees,"In a survey of 100 people, 25 people chose ""Chocolate"" as their favorite ice cream flavor. If this data is represented in a pie chart, what is the angle of the sector representing ""Chocolate""?",Believes the proportion for a pie chart sector is equal to the frequency
2479,1603,A,Confuses displacement-time graphs with velocity-time graphs,Interpretation of displacement-time graphs.  ,Calculus and Kinematics.,The acceleration of the car.,The velocity of the car.,A car travels along a straight path. The displacement-time graph of the car is a straight line with a positive slope. What does the slope of this line represent?,Confuses displacement-time graphs with velocity-time graphs.
2480,1607,A,Believes the gradient of perpendicular lines just have opposite signs,Perpendicular lines and their gradients.,Algebra,\( y = -2x + 6 \),\( y = -\frac{1}{2}x + \frac{9}{2} \),"What is the equation of a line that is perpendicular to the line \( y = 2x + 3 \) and passes through the point (1, 4)?",Believes the gradient of perpendicular lines just have opposite signs.
2481,1612,A,Confuses the shaded and unshaded regions on an inequality diagram,Graphing Inequalities,Algebra,"(1, 0)","(2, 3)","Consider the inequality \( y > 2x - 3 \). If the shaded region on the graph represents the solution set, which of the following points lies in the shaded region?",Confuses the shaded and unshaded regions on an inequality diagram.
2482,1615,A,Does not know the symbol for proportionality ,Direct Proportionality,Algebra,15,20,"If \( x \) is directly proportional to \( y \), and \( x = 12 \) when \( y = 3 \), what is the value of \( x \) when \( y = 5 \)?",Does not know the symbol for proportionality
2483,1617,A,Believes a reciprocal equation will have a linear graph,Graphs of reciprocal functions.  ,Algebra.,A straight line.,A hyperbola.,What is the graph of the equation \( y = \frac{1}{x} \)?,Believes a reciprocal equation will have a linear graph.
2484,1620,A,Believes zero cannot be raised to a power,Definition and value of \(0^0\). ,Exponents and Powers,0,1,What is the value of \(0^0\)?,Believes zero cannot be raised to a power
2485,1625,A,Uses difference as index instead of coefficient in nth term rule,nth term of an arithmetic sequence. ,Arithmetic Sequences,42,39,What is the 10th term of the arithmetic sequence where the first term is 3 and the common difference is 4?,Uses difference as index instead of coefficient in nth term rule
2486,1627,A,Believes ratios can be combined without equalizing common terms,Combining Ratios,Ratios and Proportions,3:05,3:01,"If the ratio of boys to girls in a class is 3:4 and the ratio of girls to teachers is 4:1, what is the ratio of boys to teachers?",Believes ratios can be combined without equalizing common terms
2487,1629,A,writes the remainder as the divisor divided by 10,Remainder Calculation. ,Arithmetic,123,4,What is the remainder when 1234 is divided by 10?,A misconception you are given. (The remainder is the divisor divided by 10)
2488,1634,A,"When performing mental multiplication, multiplies accurately by a multiple of 10 but then does not know how to adjust their answer ",Multiplication by multiples of 10,Arithmetic,68,680,What is the product of 34 and 20?,"When performing mental multiplication, multiplies accurately by a multiple of 10 but then does not know how to adjust their answer."
2489,1638,A,Counts repeated factors as two separate factors,Factors of a Number. ,Number Theory,8,6,What is the total number of factors of 18?,Counts repeated factors as two separate factors
2490,1643,A,"Believes that when increasing by a percentage over 100, they do not need to add an extra 1 to the decimal multiplier for the original amount",Percentage Increase Calculation,Percentages and Proportions,$300 ,$500 ,"If the price of a product is increased by 150%, what is the new price if the original price was $200?","Believes that when increasing by a percentage over 100, they do not need to add an extra 1 to the decimal multiplier for the original amount."
2491,1647,A,Believes that numbers are read aloud digit by digit ,Reading numbers aloud correctly.  ,Number Reading.,Two zero two three.,Two thousand twenty-three.,What is the number 2023 read aloud?,Believes that numbers are read aloud digit by digit.
2492,1649,A,Believes that all recurring decimals can be converted to a fraction by writing the digits of the decimal over 9,Converting Recurring Decimals to Fractions. ,Number Theory,12/99,4/33,Which of the following is the correct fraction representation of the recurring decimal 0.121212...?,Believes that all recurring decimals can be converted to a fraction by writing the digits of the decimal over 9.
2493,1650,A,Only includes full hours when measuring time in minutes,Conversion between hours and minutes.  ,Time Measurement,120 minutes,150 minutes,"If a movie lasts for 2 hours and 30 minutes, how many minutes does the movie last in total?",Only includes full hours when measuring time in minutes
2494,1653,A,Misunderstands how to adjust proportions for different sample sizes in stratified sampling,Stratified Sampling,Statistics,"20, 20, 20","10, 20, 30","In a stratified sampling of a population divided into three strata with sizes 100, 200, and 300, respectively, how many individuals should be sampled from each stratum if the total sample size is 60?",Misunderstands how to adjust proportions for different sample sizes in stratified sampling.
2495,1654,A,Believes y=f(-x) is a reflection in y=-x,Reflections and Transformations of Functions,Transformations of Functions,The graph of \( y = f(-x) \) is a reflection of the graph of \( y = f(x) \) over the line \( y = -x \).,The graph of \( y = f(-x) \) is a reflection of the graph of \( y = f(x) \) over the y-axis.,What is the graph of the function \( y = f(-x) \) if the original function \( y = f(x) \) is reflected over the line \( y = -x \)?,Believes \( y = f(-x) \) is a reflection in \( y = -x \).
2496,1662,A,Does not know the y intercept is where the x coordinate is 0,Understanding the y-intercept of a linear equation.  ,Algebra,"(4, 0)","(0, 4)",What is the y-intercept of the line given by the equation \( y = 3x + 4 \)?,Does not know the y intercept is where the x coordinate is 0
2497,1665,A,Believes when frequencies multiply by a scale factor in a table the median also multiplies by that scale factor,Median in Frequency Tables,Statistics,6,3,A frequency table shows the number of books read by students in a class. The original table is as follows:,Believes when frequencies multiply by a scale factor in a table the median also multiplies by that scale factor.
2498,1679,A,Uses addition instead of the associative property of multiplication,Associative Property of Multiplication. ,Algebra,18,24,Simplify the expression \( (2 \times 3) \times 4 \).,Uses addition instead of the associative property of multiplication.
2499,1681,A,Assumes grouped data is evenly distributed within each group,Estimating the Mean of Grouped Data,Statistics,70,75,"A teacher collected the test scores of 30 students and grouped them into intervals of 10 points each. The intervals and the number of students in each interval are as follows: 50-59 (3 students), 60-69 (7 students), 70-79 (10 students), 80-89 (7 students), and 90-100 (3 students). If the teacher assumes that the scores within each interval are evenly distributed, what is the estimated mean score of the class?",Assumes grouped data is evenly distributed within each group
2500,1683,A,Thinks the length of the hypotenuse is the sum of the two shorter sides,Pythagorean Theorem,Geometry,7 units,5 units,"In a right triangle, if the lengths of the two shorter sides are 3 units and 4 units, what is the length of the hypotenuse?",Thinks the length of the hypotenuse is the sum of the two shorter sides
2501,1684,A,"When finding the difference between two marks on a scale, counts lines instead of gaps",Understanding the difference between marks and gaps on a scale.  ,Measurement,5 inches,4 inches,"On a ruler, if you measure the distance between the 3-inch mark and the 7-inch mark, what is the length of the segment?","When finding the difference between two marks on a scale, counts lines instead of gaps."
2502,1685,A,Confuses angle of a sector with the diameter,Area of a sector of a circle. ,Geometry,314.16 square units,52.36 square units,What is the area of a sector of a circle with a radius of 10 units and an angle of 60 degrees?,Confuses angle of a sector with the diameter
2503,1688,A,Believes a line showing a constant rate of increase corresponds to a non-prism shape,Understanding the representation of constant rate of increase on a graph.  ,Geometry and Graphing,Cylinder,Line,Which of the following shapes could represent a graph showing a constant rate of increase?,Believes a line showing a constant rate of increase corresponds to a non-prism shape
2504,1689,A,Believes the largest number in a set of numbers is always their lowest common multiple,Lowest Common Multiple (LCM),Number Theory,18,72,"What is the lowest common multiple (LCM) of the numbers 8, 12, and 18?",Believes the largest number in a set of numbers is always their lowest common multiple
2505,1692,A,Mixes up total and part when forming expressions from worded problems,Forming and solving linear equations from word problems. ,Algebra,18 units,6 units,"If a rectangle has a length that is 3 times its width and the perimeter is 48 units, what is the width of the rectangle?",Mixes up total and part when forming expressions from worded problems
2506,1698,A,Uses the whole base rather than half the base when forming a right angled triangle from an equilateral triangle,Area of a right-angled triangle derived from an equilateral triangle,Geometry,50鈭? square units,25鈭? square units,"If an equilateral triangle has a side length of 10 units, what is the area of the right-angled triangle formed by drawing a perpendicular from one vertex to the midpoint of the opposite side?",Uses the whole base rather than half the base when forming a right-angled triangle from an equilateral triangle
2507,1699,A,Thinks there are 60 degrees in a full turn,Degrees in a full turn.  ,Geometry,60 degrees,360 degrees,How many degrees are in a full turn?,Thinks there are 60 degrees in a full turn
2508,1700,A,Believes you need to know the value of all algebraic variables before any general conclusions can be made,Solving systems of linear equations. ,Algebra,5,6,"If \( x + y = 10 \) and \( x - y = 2 \), what is the value of \( x \)?",Believes you need to know the value of all algebraic variables before any general conclusions can be made.
2509,1709,A,Believes a factor pair doesn't have to be 2 integers,Factor Pairs of Integers.  ,Number Theory,9.5 (a non-integer that could be mistakenly considered as part of a factor pair),18 (since all factor pairs of 18 are integers),What is the product of the factor pair of 18 that includes a non-integer?,Believes a factor pair doesn't have to be 2 integers
2510,1711,A,Is not familiar with the names of the different parts of a fraction,Identifying parts of a fraction.  ,Fractions,Denominator,Numerator,What is the name of the number on the top of a fraction?,Is not familiar with the names of the different parts of a fraction
2511,1712,A,"Includes all faces when finding surface area of a compound shape, including those which are stuck together",Surface area of compound shapes.,Geometry.,192 square units.,160 square units.,What is the surface area of a compound shape formed by joining two identical cubes along one of their faces? Each cube has a side length of 4 units.,"Includes all faces when finding surface area of a compound shape, including those which are stuck together."
2512,1713,A,Believes inverse function notation means multiplying by negative 1,Inverse Functions,Algebra,\( f^{-1}(x) = -2x - 3 \),\( f^{-1}(x) = \frac{x - 3}{2} \),What is the inverse function of \( f(x) = 2x + 3 \)?,Believes inverse function notation means multiplying by negative 1
2513,1719,A,Believes a rhombus has one pair of equal sides,Properties of a Rhombus.  ,Geometry,Only one pair of opposite sides are of equal length.,All four sides are of equal length.,What is the property that defines a rhombus?,Believes a rhombus has one pair of equal sides.
2514,1722,A,Believes a subtraction cannot be partitioned into separate subtractions,Partitioning Subtraction,Arithmetic,6,8,"If \( 15 - 7 \) is calculated by first subtracting \( 5 \) and then subtracting \( 2 \), what is the final result?",Believes a subtraction cannot be partitioned into separate subtractions
2515,1723,A,Assumes all journeys of the same distance take the same amount of time,Time and Speed Relationship,Algebra,0 hours,1 hour,"If two cars travel the same distance, but one car travels at 60 km/h and the other at 30 km/h, how much longer does it take for the slower car to complete the journey compared to the faster car?",Assumes all journeys of the same distance take the same amount of time
2516,1727,A,Rounds the wrong way when interpreting a real-life context,Average Speed Calculation. ,Arithmetic and Algebra,50 mph,53.33 mph,"If a car travels 120 miles in 2 hours and 15 minutes, what is its average speed in miles per hour?",Rounds the wrong way when interpreting a real-life context
2517,1728,A,"When solving a pair of simultaneous equations, thinks they need to make the coefficients of both variables the same",Solving Systems of Linear Equations,Algebra,"\( x = 2 \), \( y = 2 \)","\( x = 2 \), \( y = 4 \)",Solve the system of equations: ,"When solving a pair of simultaneous equations, thinks they need to make the coefficients of both variables the same."
2518,1729,A,"When solving simultaneous equations, finds the correct numbers to transform the equations, but uses them the wrong way around.",Solving Systems of Linear Equations,Algebra,"\( x = 3, y = 2 \)","\( x = 2, y = 3 \)",Solve the system of equations:,"When solving simultaneous equations, finds the correct numbers to transform the equations, but uses them the wrong way around."
2519,1732,A,Thinks a factor tree splits a number into a pair of numbers that sum to the given number.,Prime Factorization,Number Theory,\(24 + 24\),\(2^4 \times 3\),What is the prime factorization of 48?,Thinks a factor tree splits a number into a pair of numbers that sum to the given number.
2520,1736,A,Believes clock times can be written with a decimal point rather than a colon,Time Addition and Notation,Time and Clocks,6.00 PM,6:00 PM,What is the time 3 hours and 45 minutes after 2:15 PM?,Believes clock times can be written with a decimal point rather than a colon.
