MisconceptionId,MisconceptionName,ConstructName,SubjectName,AnswerAText,AnswerBText,QuestionText,MisconceptionB
94,"When solving simultaneous equations, thinks they can add variables to one of the equations to make terms across the 2 equations identical",Solving systems of linear equations by elimination,Algebra  ,"x = 3, y = 2  ","x = 4, y = 1  ",Solve the system of equations below by eliminating y.  ,"When solving simultaneous equations, thinks they can add variables to one of the equations to make terms across the 2 equations identical  "
96,Multiplies surds when asked to add,Addition of Surds,Algebra,\(3\sqrt{2}\),\( \sqrt{10} \),Simplify the expression \( \sqrt{8} + \sqrt{2} \).,Multiplies surds when asked to add
104,Assumes a sequence is linear,Linear sequences and their nth term formula,Algebra,\( T_n = 2n + 1 \),\( T_n = 2n \),"A student claims that since the sequence 3, 5, 7, 9, ... increases by 2 each time, then the nth term can be found using the formula \( T_n = 2n \). What is the correct formula for finding the nth term of this sequence?",Assumes a sequence is linear and starts from zero.
106,Believes an arrowhead has four equal sides,Understanding the properties of geometric shapes,Geometry,3,4,"If a figure is described as an arrowhead, how many sides does it have assuming all sides are equal?",Believes an arrowhead has four equal sides
112,Thinks the difference between the numerator and denominator determines how close the fraction is to 1,Understanding of Fraction Closeness to One Based on Numerical Difference Between Numerator and Denominator,Fractions,7/8,3/5,Which fraction is closer to 1?,Thinks the difference between the numerator and denominator determines how close the fraction is to 1
116,Believes an outlier is determined by the number of decimal places a number has,Identifying Outliers in Data Analysis,Statistics,"B) 1234.56 (assuming standard statistical methods for identifying outliers, such as the Interquartile Range rule, are used)","A) 23.456789, C) 0.0002345, D) 98765.4321, E) 0.123456 (These are chosen based on the misconception that the number of decimal places determines if a number is an outlier)","In a dataset, which of the following numbers is most likely to be considered an outlier based on its value, not the number of decimal places?",Believes an outlier is determined by the number of decimal places a number has
121,Believes midpoint in grouped frequency table is found by multiplying midpoint by frequency,Understanding the calculation of total values from grouped frequency tables.,Statistics,"Multiply the midpoint by the frequency, then add all such products for the respective intervals to get the total value.","Simply multiply the midpoint by the frequency without further calculation, assuming this gives the total value directly.","In a grouped frequency table, if a student wants to find the total value contributed by a particular class interval, which operation should they perform using the midpoint and the frequency?",Believes midpoint in grouped frequency table is found by multiplying midpoint by frequency.
122,Thinks they can convert percentages to fractions by writing the percentage value as both the numerator and the denominator,Converting Percentages to Fractions Correctly,Fractions and Percentages,1/2,50/50,What fraction represents 50% correctly?,Thinks they can convert percentages to fractions by writing the percentage value as both the numerator and the denominator
124,Believes perpendicular bisectors is the term used to describe two lines that are parallel,Properties of Perpendicular Bisectors,Geometry,Perpendicular bisectors intersect at a point that is equidistant from all the points on the line segments they bisect.,Perpendicular bisectors are always parallel to each other.,Which statement best describes the relationship between two perpendicular bisectors in a plane?,Believes perpendicular bisectors is the term used to describe two lines that are parallel.
125,Thinks the division sign means to add,Division as sharing or partitioning,Arithmetic,2,12,"If a recipe calls for 8 cups of flour to serve 4 people, how many cups of flour would be needed to serve 1 person?",Thinks the division sign means to add
128,Does not understand how to read both x and y coordinates,Understanding the x and y coordinates on the Cartesian plane.,Coordinate Geometry,"(3, 4)","(4, 3)",What are the coordinates of point P on the Cartesian plane if it is located 3 units to the right of the origin and 4 units up?,Does not understand how to read both x and y coordinates.
129,Believes they can change only one side of a ratio and it will remain equivalent,Understanding Equivalent Ratios,Ratios and Proportions,10,20,"If the ratio of boys to girls in a class is 3:4, how many girls must be added to the 30 boys to keep the same ratio if no boys are added?",Believes they can change only one side of a ratio and it will remain equivalent
137,Does not know the meaning of the word identity ,Understanding Identity Elements in Addition,Elementary Algebra,\(5 + 0 = 5\),\(5 + 5 = 10\),Which equation demonstrates that \(5\) is an identity element for addition?,Does not know the meaning of the word identity
140,Believes cumulative frequency is plotted at the lower bound of the class,Cumulative Frequency Graph Construction,Statistics,55 kg (assuming the correct plotting method reveals this value),52 kg,"A grouped frequency table shows the weights of students in kg: 40-45, 46-51, 52-57, 58-63, 64-69, 70-75. If a student plots a cumulative frequency graph and places the point for the group 52-57 at 52 instead of the midpoint or upper bound, which of the following values could they incorrectly conclude as the median weight?",Believes cumulative frequency is plotted at the lower bound of the class
144,Mixes up the x and y values of the coordinates,Identifying Coordinates,Coordinate Geometry,-3,4,"If the coordinates of point P are (4, -3), what is the y-coordinate of point P?",Mixes up the x and y values of the coordinates
145,Does not know how to convert percentages with a decimal point into decimals,Converting percentages with decimal points to decimals,Percentages and Decimals Conversion,0.455,"45.5, 4.55, 0.0455",What is the decimal form of 45.5%?,Does not know how to convert percentages with a decimal point into decimals
147,Multiplies instead of dividing when distributing a total amount,Dividing a total quantity into equal parts,Division and Distribution,8,288,"A classroom has 48 books, which need to be evenly distributed among 6 groups. How many books does each group receive?",Multiplies instead of dividing when distributing a total amount
148,Confuses theoretical and experimental probability,Understanding Theoretical Probability Calculation,Probability,1/2,4/9,"A bag contains 5 red marbles and 5 blue marbles. If you draw one marble from the bag, what is the probability that it is red?",Confuses theoretical and experimental probability
149,Believes P(success) in probability notation means the number of successes,Understanding Probability Notation and Calculation,Probability,3/8,3,"A bag contains 5 red marbles and 3 green marbles. If one marble is drawn at random, what is the probability of drawing a green marble?",Believes P(success) in probability notation means the number of successes
150,Confuses written 'teen' numbers with their corresponding single-digit number,Understanding place value in teen numbers,Addition,20,10,What is the sum of seventeen and three?,Confuses written 'teen' numbers with their corresponding single-digit number
153,"When dividing decimals with the same number of decimal places as each other, assumes the answer also has the same number of decimal places",Understanding the effect of decimal places on division outcomes,Arithmetic - Division of Decimals,3,0.3,"If 0.45 is divided by 0.15, what is the result?","When dividing decimals with the same number of decimal places as each other, assumes the answer also has the same number of decimal places"
155,Forgets to apply inverse trigonometric function when finding an angle,Application of inverse trigonometric functions to find angles in right triangles.,Trigonometry.,Approximately 36.87 degrees.,Approximately 0.64 radians.,"In a right triangle, if the length of one leg is 3 units and the hypotenuse is 5 units, what is the measure of the angle opposite the leg?",Forgets to apply inverse trigonometric function when finding an angle.
156,Confuses the graph of a linear equation with a quadratic equation,Differentiating between the graphical representations of linear and quadratic equations.,Algebra,"The first graph is a straight line, while the second graph is a parabola.",Both graphs are parabolas because they both have x terms.,Consider the graphs of two equations: y = 2x + 3 and y = x^2 - 4x + 5. Which statement best describes their graphical representation?,Confuses the graph of a linear equation with a quadratic equation.
157,Believes squared units can be used to measure lengths,Understanding the relationship between area and length in two-dimensional shapes,Geometry,4 meters,16 meters,"If the area of a square is 16 square meters, what is the length of one side of the square?",Believes squared units can be used to measure lengths
160,Believes that adding a positive to a negative makes your answer more negative,Understanding of Addition with Negative Numbers,Basic Arithmetic,-2,-8,What is the result of -5 + 3?,Believes that adding a positive to a negative makes your answer more negative.
163,Thinks only one variable can introduce bias,Understanding types of bias in statistical studies.,Statistics,Selection bias due to the non-random sample of participants who have a preference for caffeine.,Measurement bias because the study only considers one type of caffeinated beverage.,"In a study about the effects of caffeine on test performance, if a researcher only includes participants who drink coffee regularly, which of the following biases could this introduce into the study?",Thinks only one variable can introduce bias.
165,"Believes that in y=mx+c, m is the x-intercept",Understanding the role of coefficients in linear equations.,Linear Equations.,Cannot determine without additional information.,-3.,"What is the value of \(m\) in the equation \(y = mx + c\) for a line with an x-intercept at \((-3,0)\)?","Believes that in \(y = mx + c\), \(m\) is the x-intercept."
168,Believes composite function notation means to substitute the outer function into the inner function,Understanding Composite Functions,Algebra,\(x^2 + 6x + 9\),\(x^2 + 3^2\),"If \(f(x) = x^2\) and \(g(x) = x + 3\), what is \((f \circ g)(x)\)?",Believes composite function notation means to substitute the outer function into the inner function
170,Does not understand that when dividing both sides of an equation by an amount every term must be divided by the same amount,Solving linear equations through division,Algebra,2,6,"If 3x + 6 = 12, what is x?",Does not understand that when dividing both sides of an equation by an amount every term must be divided by the same amount
173,"Believes that if more than one number in a multiplication is divided by the same power of ten, the answer will be divided by the same power of ten. ",Multiplication and Division with Powers of Ten,Arithmetic,1600,160,"If \(320 \times 50\) equals 16000, what is the result of \((320 \div 10) \times (50 \div 10)\)?","Believes that if more than one number in a multiplication is divided by the same power of ten, the answer will be divided by the same power of ten."
174,Confuses major and minor sector,Arc Length Calculation in Circles,Geometry,Approximately 31.42 cm,Approximately 10.47 cm,"A circle has a radius of 10 cm. If the angle of a sector is 60 degrees, what is the length of the arc corresponding to the major sector?",Confuses major and minor sector
175,"Thinks that when multiplying decimals (less than 1), the number will get bigger",Understanding the effect of multiplying decimals less than one on the magnitude of numbers,Decimal Multiplication,0.14,"1.4, 14","If you multiply 0.7 by 0.2, which of the following could be the correct result?","Thinks that when multiplying decimals (less than 1), the number will get bigger"
177,"When the change in value is greater than the original amount, thinks percentage change = original/change x 100",Calculating Percentage Increase,Percentages and Ratios,50%,75%,"If the population of a town increased from 5,000 to 7,500 over the last year, what is the percentage increase in the population?","When the change in value is greater than the original amount, thinks percentage change = original/change x 100"
178,Thinks that the 10 becomes a 20 when adding in standard form ,Understanding Place Value in Addition,Addition in Standard Form,45,55,"If you have the number 35 in standard form and you add 10 to it, what is the correct sum?",Thinks that the 10 becomes a 20 when adding in standard form
180,Writes the digit 3 times instead of cubing,Understanding the concept of cubing a number,Exponents,27,333,"If \( x = 3 \), what is the value of \( x^3 \)?",Writes the digit 3 times instead of cubing
181,Assumes a ratio is part to part instead of part to whole,Understanding ratios as comparisons between quantities,Ratios and Proportions,2:3,4:5,"In a class of 40 students, 16 are girls. What is the ratio of girls to boys?",Assumes a ratio is part to part instead of part to whole
184,Believes the space diagonal is the same length as the diagonal on the bottom face of a cuboid,Understanding the relationship between the space diagonal and face diagonals in a cuboid.,Geometry,Approximately 12.65 cm.,5 cm.,"What is the length of the space diagonal of a cuboid with side lengths of 3 cm, 4 cm, and 12 cm? If the diagonal on the bottom face is 5 cm, does this affect the length of the space diagonal?",Believes the space diagonal is the same length as the diagonal on the bottom face of a cuboid.
188,Believes interquartile range is the difference between one of the quartiles and the minimum value,Interquartile Range Calculation,Statistics,20 (the difference between the third quartile (Q3 = 35) and the first quartile (Q1 = 15)).,13 (the difference between the second quartile (Q2 = 25) and the minimum value (min = 12)).,"What is the interquartile range for the following set of numbers? 12, 15, 20, 25, 30, 35, 40.",Believes interquartile range is the difference between one of the quartiles and the minimum value.
192,Does not know how to calculate the volume of a prism,Volume of Rectangular Prism Calculation,Geometry,120 cubic cm,"16 cm, 24 cm, 40 cm","What is the volume of a rectangular prism with a length of 8 cm, width of 5 cm, and height of 3 cm?",Does not know how to calculate the volume of a prism
193,Believes a cyclic quadrilateral can be self-intersecting,Properties of Cyclic Quadrilaterals,Geometry,A convex quadrilateral with all vertices on the circumference of a circle.,"A quadrilateral that intersects itself, with all vertices on the circumference of a circle.",Which of the following shapes could be a cyclic quadrilateral?,Believes a cyclic quadrilateral can be self-intersecting.
197,"Believes an outlier is the value in a data set with the biggest denominator, even if this value is close to the mean",Identifying outliers in a data set,Statistics,98,15,"In a data set consisting of the numbers 10, 12, 14, 15, 98, which number would someone who believes an outlier is the value with the biggest denominator, even if this value is close to the mean, incorrectly identify as the outlier?","Believes an outlier is the value in a data set with the biggest denominator, even if this value is close to the mean"
198,"When multiplying a decimal by a power of 10, just adds a zero to the end of the number, not changing the place value of the digits",Multiplying decimals by powers of ten,Arithmetic,325,3.2500,What is the result of multiplying 3.25 by 10^2?,"When multiplying a decimal by a power of 10, just adds a zero to the end of the number, not changing the place value of the digits"
199,"Believes that when multiplying a number with a power, the multiplier is added onto the power",Understanding of exponent rules and multiplicative operations,Exponents and Multiplication,162,3^6,What is the result of \(2 \times 3^4\)?,"Believes that when multiplying a number with a power, the multiplier is added onto the power"
200,"When solving simultaneous equations, thinks they multiply both equations by the LCM of the coefficients of the term being eliminated",Solving systems of linear equations by elimination method,Algebra,The system has infinitely many solutions as the two equations represent the same line.,"x = 1, y = 2 (Incorrect because this solution does not satisfy both equations due to the given misconception of multiplying by the LCM incorrectly.)",Solve the system of equations using elimination method: \[2x + 3y = 7\] \[4x + 6y = 14\],"Thinks they multiply both equations by the LCM of the coefficients of the term being eliminated, leading to an incorrect simplification or solution."
202,"When asked to add fractions, multiplies instead",Addition of Fractions with Unlike Denominators,Arithmetic Operations with Fractions,\(\frac{5}{6}\),\(\frac{2}{6}\),If \(\frac{1}{2} + \frac{1}{3}\) equals what?,"When asked to add fractions, multiplies instead."
203,Thinks that dividing both numbers in a multiplication sum by the same power of 10 results in equal answers,Understanding the effect of dividing both factors in a multiplication by the same power of 10,Arithmetic Operations,3402,34020,"If \(540 \times 63 = 34020\), what is the result of \((540 \div 10) \times (63 \div 10)\)?",Thinks that dividing both numbers in a multiplication sum by the same power of 10 results in equal answers
204,Confuses scalene and equilateral triangles,Identifying scalene triangles.,Geometry.,The triangle that has no sides equal in length.,The triangle with all sides equal in length.,Which triangle below has all sides of different lengths?,Confuses scalene and equilateral triangles.
206,Thinks a cylinder is a prism,Volume calculation of three-dimensional shapes.,Geometry,"The volume of the cylinder can be calculated using the formula πr²h, where r is the radius of the base and h is the height.","The volume of the cylinder can be calculated using the formula for a prism's volume, which is base area times height, with the base being a rectangle.","A student thinks that a cylinder is a type of prism because it has two flat ends. If the diameter of the circular base of a cylinder is 10 cm and its height is 15 cm, which of the following statements is true about calculating its volume?",Thinks a cylinder is a prism.
208,Believes a composite function requires you to place the inner function next to the variable of the outer function instead of replacing it,Composite Functions Evaluation,Algebra,\( 2x^2 + 3 \),\( 2(x^2) + 3x \),"If \( f(x) = 2x + 3 \) and \( g(x) = x^2 \), what is \( (f \circ g)(x) \)?",Believes a composite function requires you to place the inner function next to the variable of the outer function instead of replacing it
209,"When multiplying a vector by a fraction, adds the numerator to the top number of the vector, and the denominator to the bottom number of the vector. ",Multiplication of Vectors by Scalars,Vector Arithmetic,\(\begin{pmatrix} 2 \\ 2.5 \end{pmatrix}\),\(\begin{pmatrix} 5 \\ 7 \end{pmatrix}\),"If we have a vector \(\begin{pmatrix} 4 \\ 5 \end{pmatrix}\) and multiply it by the fraction \(\frac{1}{2}\), what is the resulting vector?","When multiplying a vector by a fraction, adds the numerator to the top number of the vector, and the denominator to the bottom number of the vector."
211,Believes displacement continues to increase even when returning to starting point,Understanding of Displacement vs Distance,Physics - Kinematics,0 meters,20 meters,"A particle moves along a straight line path from point A to point B, then returns back to point A. If the distance between points A and B is 10 meters, what is the total displacement of the particle after completing the round trip?",Believes displacement continues to increase even when returning to the starting point.
214,Does not understand the 'less than' inequality notation,Interpretation of less than symbol in inequalities,Inequalities,"4, 3, 2","5, 6, 7","If \( x < 5 \), which of the following could be a value for \( x \)?",Does not understand the 'less than' inequality notation
216,Believes the smallest number in a set of numbers is always their highest common factor,Understanding of Highest Common Factor (HCF),Number Theory,6,30,"What is the highest common factor (HCF) of 12, 18, and 30?",Believes the smallest number in a set of numbers is always their highest common factor
222,Does not know the meaning of absolute value,Absolute Value Concept,Algebra,5,-5,What is the value of | -5 |?,Does not know the meaning of absolute value
225,Confuses frequency of one class with cumulative frequency,Understanding the difference between frequency and cumulative frequency,Statistics,0,15,"The frequency table below shows the number of books read by students in a class. If the cumulative frequency for reading up to 3 books is 15, how many students read exactly 3 books?",Confuses frequency of one class with cumulative frequency
231,Thinks we can't write an equivalent multiplication sum for a division sum by using a reciprocal,Rewriting Division as Multiplication Using Reciprocals,Arithmetic Operations,\(5 \times 3 = x\),\(5 \div 3 = x\),"If \(5 \div \frac{1}{3} = x\), which of the following represents the correct way to rewrite this division as a multiplication using the reciprocal?",Thinks we can't write an equivalent multiplication sum for a division sum by using a reciprocal
235,Thinks adjacent angles are equal,Understanding of supplementary angles formed by a transversal cutting parallel lines,Geometry,\( 130^\circ \),\( 50^\circ \),"In the figure below, lines \( AB \) and \( CD \) are parallel, and line \( EF \) is a transversal. If the measure of angle 1 is \( 50^\circ \), what is the measure of angle 2?",Thinks adjacent angles are equal
237,Believes a line of best fit can be drawn on a scatter graph with no relationship or correlation,Understanding the appropriateness of fitting a line to data based on correlation.,Statistics,It is not appropriate to draw a line of best fit because there is no evident correlation between the variables.,A line of best fit can still be drawn to show a strong relationship between the variables.,A student collected data on the number of hours studied and the scores obtained by a group of students. The scatter plot shows no clear pattern between the two variables. Which statement is true regarding drawing a line of best fit on this scatter plot?,Believes a line of best fit can be drawn on a scatter graph with no relationship or correlation.
238,"When finding the mean of the data in a stem and leaf diagram, thinks you find the mean of the stem numbers",Calculating the mean from a stem and leaf plot,Statistics,7.57 (to two decimal places),7,"A stem and leaf plot shows the test scores of a class as follows: 5|3, 6|2, 7|1, 7|4, 8|0, 8|5, 9|2. What is the mean score of the class?","When finding the mean of the data in a stem and leaf diagram, thinks you find the mean of the stem numbers."
240,"Misunderstands how to calculate the lower bound in a division, believes it is found by dividing both upper bounds",Understanding Division Boundaries,Arithmetic,4,30,"If the upper bound of the dividend is 24 and the upper bound of the divisor is 6, what is the lower bound of the quotient according to the misconception that one divides both upper bounds?","Misunderstands how to calculate the lower bound in a division, believes it is found by dividing both upper bounds"
241,Thinks co-interior angles sum to 360 degrees,Co-interior Angles Sum Property,Geometry,360 degrees (This is incorrect based on the misconception),"120 degrees, 240 degrees, 300 degrees","Two parallel lines are cut by a transversal. If one pair of co-interior angles measures 120 degrees and 240 degrees respectively, what is the sum of these co-interior angles?",Thinks co-interior angles sum to 360 degrees
243,Identifies a common factor but not the highest common factor,Greatest Common Factor (GCF) Calculation,Number Theory,12,8,Find the greatest common factor (GCF) of 24 and 36.,Identifies a common factor but not the highest common factor
245,Does not realise that to maintain balance in an equation they must add or subtract the same amount from both sides,Solving one-step equations by subtraction,Algebra,7,17,"If \(x + 5 = 12\), what is the value of \(x\)?",Does not realize that to maintain balance in an equation they must subtract the same amount from both sides.
246,Does not think a kilogram is a unit of mass,Understanding the difference between mass and weight units,Physics - Mechanics,1 kilogram,9.8 kilograms,What is the mass of an object measured in kilograms if its weight on Earth is equivalent to 9.8 Newtons?,Does not think a kilogram is a unit of mass
247,Found the percentage but added it to 100%,Applying Percentage Discount to Calculate Final Price,Percentage and Discount Calculation,$60,$105,"If a shirt originally costs $80 and is on sale for 25% off, what is the final price after the discount?",Found the percentage but added it to 100%
254,Believes all triangle numbers are odd,Understanding of Triangular Numbers,Number Theory,15,"13, 17",Which of the following is the 5th triangular number?,Believes all triangle numbers are odd
257,Uses numerator as whole part of a fraction,Understanding of adding fractions with like denominators,Arithmetic - Fractions,\(\frac{5}{5} = 1\),\(\frac{3+2}{5} = \frac{5}{10}\),What is the result when you add the fractions \(\frac{3}{5}\) and \(\frac{2}{5}\)?,Uses numerator as whole part of a fraction
258,"When finding a missing number in a factor tree, multiplies by the factor given rather than dividing.",Understanding Factor Trees and Prime Factorization,Number Theory,8,3,"In the factor tree below, the number 48 is broken down into its prime factors. If one branch leads to the number 6, what number is missing from the other branch?","When finding a missing number in a factor tree, multiplies by the factor given rather than dividing."
259,"Thinks that when drawing the elevation, the bottom layer does not need to be included ",Understanding of 3D Views and Layers Visibility,Geometry,1 square (since only the top layer is visible from the perspective),5 squares (assuming each layer contributes to the view),"A three-dimensional shape is made by stacking identical layers on top of each other. If the shape is viewed from above, how many squares will you see in the top view if there are 5 layers stacked on top of each other, assuming each layer is visible?","Thinks that when drawing the elevation, the bottom layer does not need to be included, leading to the belief that all layers contribute to the view from above."
262,Believes the intersection in a prime factor venn diagram does not contribute to the size of the number represented by a circle ,Prime Factorization in Venn Diagrams,Number Theory,The size of the number represented by each circle is influenced by all its unique prime factors plus the prime factors in the intersection.,"The size of the number represented by each circle is determined solely by its unique prime factors, excluding any prime factors found in the intersection.","In a Venn diagram showing the prime factors of two numbers, if one circle represents the number 48 and the other represents the number 180, which option correctly identifies the prime factors that contribute to the size of the number represented by each circle, considering the intersection (common prime factors)?",Believes the intersection in a prime factor Venn diagram does not contribute to the size of the number represented by a circle.
266,Identifies a letter as a common factor but doesn't identify a number as a common factor,Factoring polynomials by identifying all common factors.,Algebra,\(3x(4x + 3)\),\(x(12x + 9)\),Factor completely: \(12x^2 + 9x\).,Identifies 'x' as a common factor but doesn't identify '3' as a common factor.
269,"When finding the distance between 2 points, believes the distance is the coordinate of the furthest point from origin",Distance Between Two Points,Coordinate Geometry,10,5,"Find the distance between the points (3, 4) and (-5, -6).",Believes the distance is the coordinate of the furthest point from the origin.
274,Confuses angle of a sector with the radius,Arc Length Calculation Using Central Angle and Radius,Geometry,Approximately 8.38 cm,8 cm,"In a circle with radius 8 cm, the length of the arc corresponding to a central angle of 60 degrees is found. Which of the following represents the correct length of the arc?",Confuses angle of a sector with the radius
275,"When finding a point on a line, assumes the point is always the midpoint",Midpoint Formula Application,Coordinate Geometry,"(4, 5)","(3, 4), (5, 6), (1, 2)","A line segment on the coordinate plane has endpoints at (2, 3) and (6, 7). A student is asked to find a point that lies on this line. Assuming the point is always the midpoint, where does the student incorrectly place the point?","When finding a point on a line, assumes the point is always the midpoint"
276,Adds rather than multiplies when scaling up in direct proportion problems,Scaling Quantities in Direct Proportion,Ratio and Proportion,9 cups,6 cups,"If the recipe for a cake requires 3 cups of flour for 6 servings, how many cups of flour are needed to make the cake for 18 servings?",Adds rather than multiplies when scaling up in direct proportion problems
277,Thinks pressure is force per unit volume,Understanding Pressure Calculation,Physics,20 Pa,5 Pa,A student applies a force of 10 N on the bottom of a container filled with water. The base area of the container is 0.5 m². What is the pressure exerted by the force on the bottom of the container?,Thinks pressure is force per unit volume
281,Thinks that if two lines do not intersect on a diagram then they will never intersect and are therefore parallel,Understanding of Parallel Lines and Intersection,Geometry,We cannot conclude that the lines are parallel without further information about their slopes.,The lines are definitely parallel because they do not intersect within the visible portion of the graph.,"Two lines are drawn on a graph, and they appear not to intersect within the visible portion of the graph. What can be concluded about these lines?",Thinks that if two lines do not intersect on a diagram then they will never intersect and are therefore parallel.
286,"when subtracting a fraction from an integer, just adds their absolute value and places a negative sign in front",Subtraction of Fractions from Integers,Arithmetic Operations,\(4\frac{1}{4}\),\(5\frac{3}{4}\),What is the result of \(5 - \frac{3}{4}\)?,"When subtracting a fraction from an integer, just add their absolute values and place a negative sign in front."
288,Does not break down all factors in a factor tree to primes,Prime Factorization,Number Theory,\(2^3 \times 3^1 \times 5^1\),\(2^2 \times 6 \times 5\),What is the prime factorization of 120?,Does not break down all factors in a factor tree to primes
291,Thinks a negative y value in a column vector means to move up rather than down,Vector Coordinates and Direction,Linear Algebra,"The point would be located at (3, -2), which is 3 units to the right and 2 units down from the origin.","The point would be located at (3, 2), which is 3 units to the right and 2 units up from the origin.","Consider a column vector \(\begin{pmatrix} 3 \\ -2 \end{pmatrix}\). If this vector represents a position in the coordinate plane starting from the origin, where would the point be located?",Thinks a negative y value in a column vector means to move up rather than down.
295,Does not know the word and/or does not know the function of a compass,Understanding and use of geometric tools,Geometry,Compass,"Ruler, Protractor",What tool would you use to draw a perfect circle with a specific radius in geometry?,Does not know the word and/or does not know the function of a compass
298,Confuses a constant with a variable,Understanding the difference between constants and variables,Algebra,8,15,"If \( x = 5 \) and \( y = 3 \), what is the value of \( x + y \)?",Confuses a constant with a variable
299,"When solving time problems, finds the difference in the hours and the difference in the minutes but then assumes the minutes will be added on to the number of hours",Understanding elapsed time between two specific times including carrying over from minutes to hours.,Time Calculation,2 hours and 25 minutes,2 hours and 15 minutes,A movie starts at 2:45 PM and ends at 5:10 PM. How long is the movie?,"When solving time problems, finds the difference in the hours and the difference in the minutes but then assumes the minutes will be added on to the number of hours"
300,Believes a direct proportion graph does not have to start at the origin,Understanding Direct Proportions and their Graphical Representation.,Linear Relationships and Proportional Reasoning.,"No, because in a direct proportion, the relationship must go through the origin (0,0).","Yes, the graph can start anywhere on the y-axis.","A student claims that the graph of a direct proportion between the number of apples bought and the total cost can start at any point on the y-axis, not necessarily at the origin. Is this claim correct?",Believes a direct proportion graph does not have to start at the origin.
304,Believes knowing the perimeter of squares does not give you enough information to find the perimeter of combines shapes using those squares,Understanding the relationship between the perimeter of individual shapes and their combined perimeter when forming compound shapes.,Geometry,20 cm,"10 cm, 40 cm",Two identical squares have a combined perimeter of 40 cm. What is the perimeter of a single square?,Believes knowing the perimeter of squares does not give you enough information to find the perimeter of combined shapes using those squares
307,"When using Pythagoras to find the height of an isosceles triangle, uses the whole base instead of half",Application of Pythagoras' theorem in finding the height of an isosceles triangle using half the base length.,Geometry,12 units,24 units,"An isosceles triangle has a base of 10 units and a hypotenuse (one of the equal sides) of 13 units. Using Pythagoras' theorem, what is the height of the triangle?","When using Pythagoras to find the height of an isosceles triangle, uses the whole base instead of half"
310,"Guesses when something is ""twice as high/much"", rather than multiplying by 2",Solving equations involving geometric shapes and understanding of multiplication versus addition.,Algebra,6 units,12 units,"If a rectangle's length is twice its width and the area of the rectangle is 72 square units, what is the width of the rectangle?","Guesses that if something is ""twice as much"" it means to add the original quantity to itself instead of multiplying by 2."
311,Believes gradient is the sum of y the coordinates divided by the sum of the x co-ordinates ,Gradient Calculation,Coordinate Geometry,4/3,12/9,"Calculate the gradient of the line passing through the points (3, 4) and (6, 8).",Believes gradient is the sum of y the coordinates divided by the sum of the x co-ordinates 
313,Believes edges of a 3D shape do not include edges of base,Counting edges on 3D shapes considering base edges as part of total edge count,Geometry,6,3,How many edges does a triangular prism have if one believes that the edges forming the base are not considered as part of the total edge count?,Believes edges of a 3D shape do not include edges of base
314,"When calculating the power of a negative number, thinks they can ignore the sign when multiplying and then put a negative sign back on at the end, regardless of the power ",Understanding of negative numbers raised to odd powers,Algebra,-8,8,What is (-2)^3?,"When calculating the power of a negative number, thinks they can ignore the sign when multiplying and then put a negative sign back on at the end, regardless of the power"
316,Mixes up primary and secondary data types,Understanding Integer Concepts,Number Theory,42,"3.14, ""apple"", true",Which of the following numbers is an integer?,Mixes up primary and secondary data types
319,"When factorising, thinks the smallest coefficient will be the numerical factor, regardless of whether it divides into all terms",Factorisation with Greatest Common Factor (GCF),Algebra,\(3x(2x + 5)\),\(x(6x + 15)\),Factorise the expression \(6x^2 + 15x\).,"When factorising, thinks the smallest coefficient will be the numerical factor, regardless of whether it divides into all terms"
320,"When factorising into double brackets, finds the two values which sum to give the constant rather than the coefficient of x",Factorisation of Quadratics,Algebra,\((x + 3)(x + 2)\),\((x - 3)(x - 2)\),Factorise \(x^2 + 5x + 6\) completely.,"When factorising into double brackets, finds the two values which sum to give the constant rather than the coefficient of x."
321,Believes class width multiplied by frequency gives frequency density,Frequency Density Calculation in Histograms,Statistics,2 students/kg,50 students,"In a histogram representing the distribution of weights of a group of students, if one of the classes has a width of 5 kg and a frequency of 10 students, what is the correct frequency density for this class?",Believes class width multiplied by frequency gives frequency density
323,"When measuring a line segment with a ruler, assumes the line starts at 0",Understanding the zero point on a ruler.,Measurement,The actual length considering where the zero mark would be if aligned properly.,The length measured from the assumed zero point without adjusting for the ruler's starting point.,What is the length of a line segment if a student measures from a point that is not at the zero mark on the ruler but assumes it starts at zero?,"When measuring a line segment with a ruler, assumes the line starts at 0"
324,Believes the two variables have to add to the same value in inverse proportion,Understanding Inverse Proportions in Variable Relationships,Algebra,\( \frac{x}{2} \),\( x + y \),"If \( x \) gallons of paint can cover \( y \) square feet, how many gallons are needed to cover \( 2y \) square feet assuming the relationship between gallons and coverage is inversely proportional?",Believes the two variables have to add to the same value in inverse proportion.
325,Does not check the labelling of the axes ,Understanding slope as rate of change.,Graph interpretation in Algebra.,The car is traveling at a constant speed of 50 miles per hour.,"The car is traveling at a variable speed, averaging 50 miles per hour over the journey.","A graph shows the distance in miles on the y-axis and the time in hours on the x-axis for a car journey. If the graph shows a straight line passing through the origin with a slope of 50, what does this indicate about the car's speed?",Does not check the labelling of the axes.
